UMAP1,UMAP2,leiden,cell_type,is_KC,rut_expression
9.021672,5.5574017,51,ENS,0,1.0
-3.0913937,-9.838218,49,Pm4,0,2.0
-2.1948314,-4.935988,48,12,0,2.0
9.980007,2.2292664,52,CTX,0,0.0
6.6814094,8.218355,57,AST,0,0.0
-9.269042,-1.7837415,50,154,0,1.0
-3.8534386,-5.9627886,50,14,0,1.0
-0.312145,-3.9803216,48,38,0,0.0
3.6802294,1.0496182,50,170,0,2.0
-2.9675558,8.668936,51,26,0,0.0
-1.3872681,-3.4450088,48,11,0,0.0
-4.21025,-6.7345643,51,OPN,0,3.0
-1.8262341,2.4644468,55,69,0,1.0
4.304663,-1.14774,54,15a,0,0.0
-3.8217282,-6.922284,51,OPN,0,1.0
2.7154906,0.26033047,54,72,0,0.0
-0.81353235,-3.3577073,50,66,0,0.0
10.833078,-3.9262161,51,PNG,0,0.0
0.24517342,-7.1042447,52,6,0,1.0
3.2948747,0.7409122,54,158,0,0.0
-7.4956775,-2.349165,49,Pm4,0,0.0
2.0595186,-4.4944434,49,119,0,0.0
1.1782327,-3.1534264,49,Dm12,0,1.0
7.2638073,-7.416924,52,Lai,0,1.0
0.9363797,-5.072313,49,62,0,0.0
2.9286885,6.356646,53,T4/T5,0,1.0
-7.42956,0.35500905,51,TmY5a,0,0.0
-4.8017287,7.020361,52,Tm4,0,0.0
4.941703,0.45337978,54,Dm3,0,0.0
1.8532233,-3.4898028,49,67,0,1.0
-1.6763734,-1.6482956,49,169,0,1.0
-0.66502714,-4.7318497,48,36,0,1.0
-0.3081275,3.7853456,55,Tm20,0,1.0
-11.600198,6.1846995,49,A/B*-KC,1,0.0
-0.24960454,2.856122,55,Tm20,0,0.0
-0.46339965,0.44282857,56,113,0,0.0
-4.594447,0.75741553,49,Tm5c,0,1.0
2.165947,-6.638445,52,108,0,3.0
-3.9334278,-1.1484036,49,LC4,0,2.0
8.594906,4.099502,51,ENS,0,0.0
3.9457388,-1.1598332,54,15a,0,0.0
-3.4023228,-4.051628,49,35,0,2.0
-3.3632705,0.5627295,49,109,0,0.0
-0.11186076,10.048031,49,5,0,1.0
2.4264448,6.6098166,53,T4/T5,0,0.0
-3.9357686,1.246046,53,131,0,0.0
8.757742,6.1844234,51,ENS,0,0.0
-2.129255,-2.8460124,48,99,0,2.0
11.339167,5.2014527,51,ENS,0,0.0
-2.3257437,1.5909344,56,19,0,0.0
9.364203,-3.1468463,51,PNG,0,0.0
1.9171453,-3.633513,49,78,0,0.0
-0.16535363,-2.8235514,48,100,0,0.0
-1.1974955,2.6096933,55,83,0,1.0
6.901491,8.636903,57,AST,0,0.0
